,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
31778,Nepal,2014,NPL,27462110.0,68540932096.0,1.183,0.043,7.591,1.373,22.09,19.792,5.587,39.331,0.721,0.289,0.656,0.276,0.111,0.251,1.836,0.067,6.953,0.253,0.101,7.635,90.046,1350.755,21.712,0.0,0.0,2140.143,60.698,,1099.445,0.441,0.0,0.0,0.0,0.0,1.322,1.465,12.201,0.444,23.06,0.84,6.97,0.254,4.573,0.167,,,30.193,0.079,0.021,0.049,0.012,0.022,0.006,0.062,0.003,0.0,0.0,0.301,0.012,,0.0,0.0,0.248,0.039,,0.135,0.001,0.001,0.002,0.0,40.23,36.31,-0.638,-8.402
31954,Netherlands,2014,NLD,16954080.0,745517678592.0,0.282,0.017,157.656,-7.019,-4.262,160.257,-7.165,-4.28,9.452,0.215,0.158,9.299,0.211,0.155,35.797,2.111,171.852,10.136,0.231,55.425,10797.403,11420.342,3649.391,22.677,3452.813,636.657,3587.752,29.345,59946.082,1.363,1.092,0.064,67.011,3.953,10.51,10.591,2.601,0.153,17.27,1.019,8.5,0.501,52.199,3.079,0.075,1.274,1016.331,0.019,0.443,0.396,0.238,0.162,0.728,0.521,0.52,0.145,1.705,0.089,0.688,0.387,0.281,1.007,0.053,0.447,0.418,0.485,0.001,0.005,0.007,0.0,179.56,178.19,14.197,9.005
32126,Netherlands Antilles,2014,ANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.192,,,,,,,,,,,0.037,,,,,,,,,,54.754,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
32298,New Caledonia,2014,NCL,280805.0,,0.04,0.144,4.873,1.025,26.62,4.544,0.915,25.204,16.18,,0.236,17.355,,0.254,1.788,6.368,,,,1.427,118.426,140.447,37.826,0.0,0.0,53.018,79.174,,68428.609,,0.0,0.0,0.0,0.0,,,-0.33,-1.174,,,,,3.045,10.843,,,19.215,0.003,0.014,0.011,0.012,0.004,0.008,0.006,0.005,0.0,0.0,0.007,0.015,,0.0,0.0,-0.007,0.026,,0.005,,0.0,0.0,,,,,
32470,New Zealand,2014,NZL,4514198.0,149075263488.0,0.619,0.137,35.439,0.198,0.562,34.669,1.077,3.207,7.68,0.233,0.138,7.851,0.238,0.141,5.442,1.206,39.128,8.668,0.262,30.699,1670.182,4495.565,595.398,22.679,276.316,3052.002,728.631,16.46,55530.688,1.682,1.224,0.271,8.602,1.905,18.238,14.534,-0.769,-0.17,33.98,7.527,14.87,3.294,18.851,4.176,0.155,0.701,250.677,0.041,0.1,0.086,0.036,0.09,0.113,0.205,0.085,0.145,0.136,0.429,0.14,0.217,0.316,0.129,-0.016,0.161,0.23,0.325,0.002,0.002,0.005,0.001,65.61,82.33,3.689,10.409
32642,Nicaragua,2014,NIC,6208680.0,27402565632.0,0.271,0.044,4.745,0.14,3.034,8.959,-0.74,-7.626,1.443,0.327,0.346,0.764,0.173,0.183,0.0,0.0,6.441,1.037,0.235,6.82,145.034,2816.529,0.0,0.0,0.0,4044.909,138.213,,4173.799,0.946,0.0,0.0,0.0,0.0,2.783,4.568,4.214,0.679,8.89,1.432,3.29,0.53,4.474,0.721,,,25.914,0.018,0.013,0.022,0.0,0.02,0.01,0.129,0.0,0.0,0.0,0.568,0.026,,0.0,0.0,0.086,0.038,,0.132,0.0,0.001,0.002,0.0,28.36,17.28,1.696,35.738
32814,Niger,2014,NER,19372012.0,16617681920.0,0.008,0.0,2.246,0.175,8.456,29.542,-2.463,-7.696,1.525,1.778,3.01,0.116,0.135,0.229,0.388,0.02,,,,0.771,35.462,856.381,9.844,0.45,0.0,1570.72,24.397,,506.644,0.591,0.171,0.009,0.0,0.0,1.788,1.852,27.297,1.409,21.94,1.133,10.12,0.522,1.678,0.087,,,9.815,0.001,0.006,0.073,0.003,0.002,0.002,0.039,0.001,0.003,0.0,0.221,0.005,,0.044,0.0,0.555,0.014,,0.094,0.001,0.001,0.001,0.0,35.87,34.64,,
32986,Nigeria,2014,NGA,179379024.0,1021285564416.0,7.75,0.043,122.996,6.635,5.703,124.681,2.752,2.257,0.695,0.122,0.257,0.686,0.12,0.253,0.121,0.001,117.879,0.657,0.115,81.979,3170.331,13713.455,69.691,1144.633,503.949,11503.824,1370.08,,2707.865,0.476,15.827,0.088,32.676,0.182,1.59,1.847,1.685,0.009,124.07,0.692,36.02,0.201,66.623,0.371,,,485.734,0.517,0.346,0.308,0.001,0.24,0.214,0.626,0.01,7.326,0.249,1.617,0.263,,4.08,0.491,0.034,0.57,,1.306,0.012,0.006,0.019,0.001,331.28,285.16,-5.117,-4.161
33157,Niue,2014,NIU,1858.0,,0.0,0.0,0.011,0.004,50.0,,,,,,,5.916,,0.375,0.0,0.0,,,,0.0,0.234,,0.0,0.0,0.0,,0.234,,15776.486,,0.0,0.0,0.0,0.0,5.382,0.0,,,0.0,0.0,0.0,0.0,0.011,5.916,,,0.029,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,
33329,Non-OECD (GCP),2014,,,,,,21656.617,,,,,,,,,,,,,,20162.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33601,North America,2014,,565486685.0,,71.263,0.126,6763.079,36.526,0.543,7100.024,286.327,4.202,12.567,0.344,0.214,11.971,0.327,0.204,1844.074,3.264,7060.279,12.497,0.342,3624.366,439639.375,627957.312,177722.406,3059.577,78397.531,198695.391,175524.234,1311.278,58141.621,,90.938,0.161,1830.338,3.24,13.802,13.356,337.638,0.598,971.54,1.718,367.76,0.65,2891.533,5.118,0.062,34.934,32878.312,4.751,19.009,17.533,12.252,10.619,29.636,28.669,25.317,19.581,38.716,27.926,33.649,17.305,23.443,27.505,6.866,24.759,11.459,22.927,0.052,0.264,0.33,0.014,7552.36,7804.62,297.2,4.394
33773,North America (GCP),2014,,,,,,6583.411,,,,,,,,,,,,,,6955.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34045,North America (excl. USA),2014,,,,31.824,0.131,1234.208,-11.419,-0.917,1538.286,185.51,13.713,6.332,0.368,0.214,5.081,0.295,0.171,133.705,0.55,1217.942,5.014,0.291,1109.963,53930.656,118570.508,10620.897,1113.776,10856.519,74847.164,30156.033,73.466,,,26.766,0.11,395.318,1.627,,,304.772,1.255,,,,,644.085,2.651,0.01,2.509,,2.122,3.469,3.799,0.888,3.252,3.635,5.413,1.513,7.128,5.361,10.519,5.781,0.97,6.9,5.941,6.197,5.515,0.823,4.632,0.016,0.047,0.067,0.003,,,-16.266,-1.318
34217,North Korea,2014,PRK,25126140.0,44518469632.0,2.547,0.101,30.544,3.53,13.067,40.546,3.383,9.104,1.614,0.911,0.364,1.216,0.686,0.274,25.387,1.01,,,,136.788,4856.13,6038.577,4474.944,0.0,0.0,1325.269,244.399,,4437.806,2.505,0.0,0.0,0.0,0.0,2.111,2.253,10.003,0.398,17.45,0.694,2.48,0.099,2.609,0.104,,,111.505,0.17,0.086,0.1,0.169,0.401,0.327,0.276,0.637,0.0,0.0,0.186,0.047,,0.0,0.0,0.203,0.022,,0.249,0.001,0.003,0.004,0.0,56.61,53.03,,
34389,North Macedonia,2014,MKD,2105293.0,25062699008.0,0.256,0.122,7.46,-0.311,-4.008,7.094,-0.531,-6.968,3.369,0.283,0.254,3.543,0.298,0.267,4.316,2.05,,,,16.092,592.436,919.888,394.53,0.21,3.008,471.154,178.596,,13282.878,1.116,0.0,0.0,0.253,0.12,5.068,5.068,-0.366,-0.174,2.34,1.111,0.56,0.266,2.634,1.251,,,27.964,0.017,0.021,0.018,0.029,0.047,0.04,0.042,0.056,0.001,0.001,0.066,0.034,,0.0,0.004,-0.007,0.023,,0.031,0.0,0.0,0.0,0.0,10.67,10.67,,
34579,Norway,2014,NOR,5137926.0,422415695872.0,0.727,0.141,45.046,0.46,1.032,50.029,0.716,1.453,9.737,0.118,0.092,8.767,0.107,0.083,3.527,0.686,48.609,9.461,0.115,57.602,2368.333,3550.387,592.049,65.822,366.118,1183.069,1268.265,18.477,105633.75,1.285,1.408,0.274,14.645,2.85,9.512,5.827,4.983,0.97,4.75,0.924,3.33,0.648,24.099,4.69,0.125,0.64,542.738,0.048,0.127,0.124,0.023,0.169,0.16,0.162,0.084,0.421,0.181,0.166,0.243,0.244,0.363,0.22,0.101,0.206,0.21,0.175,0.001,0.001,0.003,0.0,29.94,48.87,3.563,7.909
34751,OECD (GCP),2014,,,,,,12803.454,,,,,,,,,,,,,,14320.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34922,OECD (Jones et al. 2023),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.78,0.098,0.472,0.601,0.031,,,,
35194,Oceania,2014,,39729340.0,,3.797,0.096,444.417,-1.412,-0.317,558.221,-81.046,-12.678,14.148,0.441,0.297,11.264,0.351,0.237,175.36,4.444,420.642,10.661,0.332,206.941,18148.139,36018.496,9807.11,213.646,1891.06,18297.979,5926.619,102.763,45737.852,,11.045,0.28,80.992,2.053,17.722,17.116,115.379,2.924,184.23,4.637,95.44,2.402,168.515,4.271,0.119,4.706,1817.135,0.253,1.249,1.378,1.165,0.606,1.223,1.644,1.397,1.367,0.934,2.572,1.136,1.356,2.847,1.217,2.346,1.443,1.544,2.043,0.01,0.016,0.029,0.004,679.99,704.1,-23.775,-5.35
35366,Oceania (GCP),2014,,,,,,437.819,,,,,,,,,,,,,,440.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35538,Oman,2014,OMN,4009272.0,155313733632.0,1.781,0.444,65.897,0.645,0.989,66.226,0.975,1.494,16.518,0.426,0.21,16.436,0.424,0.209,0.0,0.0,59.51,14.843,0.383,25.581,904.273,905.921,0.0,116.926,498.231,-5.423,263.534,,78766.812,2.033,4.876,1.216,44.965,11.215,21.71,21.71,0.33,0.082,17.89,4.462,0.99,0.247,14.275,3.56,,,315.798,0.119,0.185,0.164,0.0,0.075,0.061,0.041,0.0,0.748,0.246,-0.001,0.051,,1.257,0.676,0.007,0.122,,0.114,0.001,0.0,0.002,0.0,87.04,87.04,-6.386,-9.691
35710,Pakistan,2014,PAK,208251632.0,981580447744.0,12.198,0.059,156.529,5.005,3.303,162.648,0.535,0.33,0.781,0.166,0.21,0.752,0.159,0.202,18.844,0.09,172.794,0.83,0.176,211.23,3844.559,6171.932,493.613,27.765,1421.445,3166.319,1690.506,,3725.951,0.79,0.864,0.004,64.201,0.308,1.729,1.755,6.119,0.029,143.4,0.689,57.07,0.274,60.423,0.29,,,775.935,0.813,0.44,0.402,0.125,0.619,0.259,0.282,0.07,0.178,0.702,0.445,0.324,,0.223,0.965,0.124,0.517,,0.691,0.006,0.003,0.01,0.001,365.57,360.11,16.265,10.391
35881,Palau,2014,PLW,17821.0,,0.0,0.0,0.22,-0.007,-3.226,,,,,,,12.336,,,0.0,0.0,,,,0.0,9.277,,0.0,0.0,0.0,,9.277,,,,0.0,0.0,0.0,0.0,13.467,13.467,,,0.02,1.122,0.0,0.0,0.22,12.336,,,,0.0,0.001,,0.0,0.0,0.001,,0.0,0.0,0.0,,0.002,,0.0,0.0,,0.002,,0.001,0.0,0.0,0.0,0.0,0.24,0.24,,
36053,Palestine,2014,PSE,4380473.0,21084590080.0,0.0,0.0,2.837,0.399,16.385,2.91,0.326,12.619,0.664,0.138,0.176,0.648,0.135,0.172,0.0,0.0,,,,0.0,41.096,39.191,0.0,0.005,0.0,10.442,41.092,,3767.683,0.783,0.001,0.0,0.0,0.0,,,0.073,0.017,,,,,2.836,0.647,,,16.504,0.0,0.008,0.007,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.001,0.008,,0.0,0.0,0.001,0.024,,0.001,,0.0,0.0,,,,,
36225,Panama,2014,PAN,3888795.0,71636836352.0,0.849,0.218,10.855,0.342,3.254,16.058,-2.772,-14.722,4.129,0.224,0.156,2.791,0.152,0.106,0.934,0.24,0.221,0.057,0.003,15.166,242.802,1260.588,5.591,0.0,0.407,1801.406,221.638,,26454.377,1.436,0.0,0.0,0.0,0.0,4.544,5.675,5.203,1.338,4.73,1.216,1.35,0.347,9.072,2.333,,,102.876,0.057,0.031,0.04,0.006,0.044,0.016,0.058,0.001,0.0,0.0,0.253,0.042,,0.0,0.0,0.106,0.078,,0.06,0.0,0.001,0.001,0.0,22.07,17.67,-10.634,-97.961
36426,Panama Canal Zone (Jones et al. 2023),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
36698,Papua New Guinea,2014,PNG,8464159.0,,0.0,0.0,6.598,1.168,21.51,37.485,-1.397,-3.593,4.429,,1.572,0.779,,0.277,0.0,0.0,,,,0.0,131.185,1462.903,0.051,0.74,6.437,1331.718,123.958,,2816.402,,0.548,0.065,0.583,0.069,2.305,7.05,30.888,3.649,9.86,1.165,3.67,0.434,5.467,0.646,,,23.838,0.0,0.019,0.093,0.0,0.0,0.009,0.067,0.0,0.005,0.003,0.187,0.024,,0.141,0.009,0.628,0.047,,0.066,0.0,0.001,0.001,0.0,59.67,19.51,,
36870,Paraguay,2014,PRY,6090727.0,56773791744.0,0.259,0.043,5.458,0.286,5.531,85.333,1.312,1.562,14.01,1.503,0.638,0.896,0.096,0.041,0.0,0.0,10.096,1.658,0.178,7.311,132.004,4119.975,0.007,0.0,0.0,4856.339,124.686,,21944.449,2.354,0.0,0.0,0.0,0.0,7.554,18.761,79.875,13.114,29.1,4.778,10.23,1.68,5.199,0.854,,,133.658,0.017,0.015,0.211,0.0,0.021,0.009,0.188,0.0,0.0,0.0,0.683,0.024,,0.0,0.0,1.624,0.045,,0.201,0.001,0.002,0.003,0.0,114.27,46.01,4.637,84.963
37042,Peru,2014,PER,30353956.0,337782210560.0,4.59,0.151,49.388,6.364,14.793,58.841,-4.041,-6.427,1.939,0.174,0.219,1.627,0.146,0.184,3.048,0.1,61.876,2.038,0.183,85.716,1623.393,6680.629,101.146,77.895,145.124,5399.71,1213.512,,8856.475,0.796,0.369,0.012,16.532,0.545,3.144,6.075,9.453,0.311,31.77,1.047,9.69,0.319,24.849,0.819,,,268.829,0.306,0.139,0.145,0.02,0.251,0.109,0.305,0.014,0.499,0.072,0.759,0.233,,0.095,0.248,0.192,0.213,,0.32,0.001,0.003,0.005,0.0,184.4,95.44,12.488,25.284
37214,Philippines,2014,PHL,101325208.0,711518781440.0,8.155,0.08,101.484,5.448,5.673,144.646,-10.124,-6.541,1.428,0.203,0.357,1.002,0.143,0.25,42.73,0.422,135.974,1.342,0.191,177.476,2598.463,12480.271,453.516,0.762,82.745,13247.265,1883.965,,4002.745,0.57,0.3,0.003,7.086,0.07,1.81,1.834,43.162,0.426,64.17,0.633,12.96,0.128,43.213,0.426,,,405.579,0.544,0.285,0.357,0.284,0.52,0.175,0.57,0.065,0.005,0.041,1.862,0.361,,0.077,0.106,0.878,0.37,,0.67,0.003,0.006,0.01,0.0,185.86,183.37,34.491,33.986
37436,Poland,2014,POL,38581880.0,893604462592.0,6.456,0.167,310.319,-12.332,-3.822,252.355,-12.772,-4.817,6.541,0.282,0.229,8.043,0.347,0.282,202.997,5.261,300.958,7.8,0.337,372.851,25932.885,24530.492,21870.562,83.352,981.433,-1342.233,2510.041,114.643,28535.256,1.232,4.702,0.122,29.464,0.764,8.954,8.251,-57.964,-1.502,30.39,0.788,20.29,0.526,62.289,1.614,0.114,4.411,1100.944,0.43,0.872,0.623,1.349,1.092,1.748,1.12,3.116,0.533,0.485,-0.189,0.481,1.513,1.212,0.443,-1.179,0.533,1.447,1.102,0.004,0.011,0.016,0.001,318.34,345.45,-9.361,-3.017
37608,Portugal,2014,PRT,10408379.0,252484943872.0,3.096,0.297,47.946,-0.218,-0.452,43.146,-0.657,-1.501,4.145,0.171,0.145,4.606,0.19,0.161,10.328,0.992,49.179,4.725,0.195,144.916,2316.47,2744.939,596.774,11.293,145.694,498.451,1398.013,19.781,28600.113,1.179,1.016,0.098,7.643,0.734,6.092,6.015,-4.8,-0.461,11.46,1.101,3.25,0.312,25.009,2.403,0.082,0.854,297.681,0.206,0.135,0.107,0.069,0.425,0.156,0.125,0.085,0.072,0.072,0.07,0.268,0.261,0.262,0.115,-0.098,0.214,0.28,0.124,0.001,0.001,0.002,0.0,62.61,63.41,1.233,2.572
37780,Puerto Rico,2014,PRI,3560008.0,122937262080.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,317.083,,,26354.953,0.763,,,,,,,-1.026,-0.288,,,,,,,,,93.824,,,,,,,,,,,0.045,,,,,-0.021,,,0.007,,0.0,0.0,,,,,
37952,Qatar,2014,QAT,2214471.0,357207343104.0,2.124,0.959,91.549,7.559,9.0,91.549,7.523,8.953,41.341,0.256,0.176,41.341,0.256,0.176,0.0,0.0,56.911,25.7,0.159,20.995,1491.094,1492.01,0.0,164.804,1031.363,0.916,273.933,,234538.375,1.454,2.361,1.066,82.502,37.256,46.779,46.779,0.0,0.0,20.87,9.424,0.53,0.239,4.562,2.06,,,519.378,0.142,0.257,0.226,0.0,0.062,0.101,0.068,0.0,1.055,0.509,0.0,0.053,,0.609,1.24,0.0,0.039,,0.18,0.002,0.001,0.003,0.0,103.59,103.59,-34.638,-37.836
38224,Reunion,2014,REU,914797.0,,0.0,0.0,4.344,-0.018,-0.423,4.527,-0.495,-9.852,4.949,,,4.749,,,1.994,2.179,,,,0.0,97.366,147.16,28.261,0.0,0.0,49.794,69.105,,0.0,,0.0,0.0,0.0,0.0,,,0.183,0.2,,,,,2.35,2.569,,,0.0,0.0,0.012,0.011,0.013,0.0,0.007,0.007,0.004,0.0,0.0,0.007,0.013,,0.0,0.0,0.004,0.02,,,,,,,,,,
38396,Romania,2014,ROU,19995836.0,363278368768.0,2.944,0.147,78.453,-0.476,-0.603,70.942,0.367,0.52,3.548,0.195,0.186,3.923,0.216,0.206,24.429,1.222,81.75,4.088,0.225,240.107,8101.048,11411.033,2431.203,23.26,2769.062,3517.11,2608.835,28.582,19029.295,1.047,0.548,0.027,24.069,1.204,4.93,-9.329,-7.511,-0.376,17.29,0.865,8.31,0.416,25.222,1.261,0.062,1.242,380.507,0.196,0.221,0.175,0.162,0.704,0.546,0.521,0.346,0.149,1.367,0.494,0.5,0.377,0.141,0.362,-0.153,0.216,0.407,0.394,0.001,0.004,0.006,0.0,-186.55,98.57,3.296,4.202
38572,Russia,2014,RUS,144285072.0,3559951171584.0,26.453,0.183,1631.662,-1.054,-0.065,1714.139,-58.176,-3.282,11.88,0.482,0.213,11.309,0.458,0.203,394.095,2.731,1391.314,9.643,0.391,1512.16,105866.422,198981.078,42836.754,1145.344,29505.381,96567.172,30426.242,440.542,55844.656,2.263,38.466,0.267,772.753,5.356,15.957,11.241,82.477,0.572,607.44,4.21,61.02,0.423,383.205,2.656,0.116,16.69,8057.55,1.764,4.586,4.233,2.618,4.431,7.136,9.084,6.102,7.33,14.571,13.572,5.833,5.814,9.916,11.612,1.677,3.281,5.474,6.324,0.018,0.069,0.091,0.004,1621.85,2302.34,-240.348,-14.73
38744,Rwanda,2014,RWA,11368450.0,17604784128.0,0.036,0.003,0.827,0.045,5.737,3.575,-0.175,-4.665,0.314,0.203,0.78,0.073,0.047,0.18,0.0,0.0,0.914,0.08,0.052,0.805,22.316,435.652,0.012,0.022,0.044,698.615,21.433,,403.43,0.261,0.0,0.0,0.007,0.001,0.387,0.544,2.748,0.242,1.66,0.146,1.72,0.151,0.784,0.069,,,4.586,0.002,0.002,0.009,0.0,0.002,0.002,0.02,0.0,0.0,0.0,0.098,0.004,,0.0,0.0,0.056,0.007,,0.034,0.0,0.0,0.0,0.0,6.18,4.4,0.087,10.502
38936,Ryukyu Islands (Jones et al. 2023),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.0,0.0,,,,,
39107,Saint Helena,2014,SHN,5480.0,,0.0,0.0,0.011,0.0,0.0,,,,,,,2.006,,0.255,0.0,0.0,,,,0.0,0.311,,0.0,0.0,0.0,,0.311,,7872.981,,0.0,0.0,0.0,0.0,,,,,,,,,0.011,2.006,,,0.043,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
39279,Saint Kitts and Nevis,2014,KNA,47816.0,,0.0,0.0,0.231,0.007,3.279,0.158,0.007,4.878,3.295,,0.151,4.828,,0.221,0.0,0.0,,,,0.0,4.928,1.557,0.0,0.0,0.0,-1.246,4.928,,21838.453,,0.0,0.0,0.0,0.0,6.692,6.692,-0.073,-1.533,0.08,1.673,0.01,0.209,0.231,4.828,,,1.044,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.001,,0.0,0.0,-0.001,0.002,,0.0,0.0,0.0,0.0,0.0,0.32,0.32,,
39451,Saint Lucia,2014,LCA,174814.0,1635704960.0,0.0,0.0,0.484,-0.004,-0.752,0.374,-0.04,-9.735,2.138,0.228,0.204,2.767,0.296,0.264,0.0,0.0,,,,0.0,11.446,11.996,0.0,0.0,0.0,2.748,11.446,,10461.293,1.118,0.0,0.0,0.0,0.0,4.748,3.89,-0.11,-0.629,0.26,1.487,0.03,0.172,0.484,2.767,,,1.829,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.002,,0.0,0.0,-0.002,0.004,,0.001,0.0,0.0,0.0,0.0,0.68,0.83,,
39623,Saint Martin (French part),2014,MAF,35280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
39795,Saint Pierre and Miquelon,2014,SPM,6013.0,,0.0,0.0,0.066,0.0,0.0,0.066,0.0,0.0,10.968,,0.165,10.968,,0.165,0.0,0.0,,,,0.0,3.312,4.485,0.495,0.0,0.0,1.392,2.817,,66357.25,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.066,10.968,,,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.001,,0.0,,0.0,0.0,,,,,
39967,Saint Vincent and the Grenadines,2014,VCT,106934.0,,0.0,0.0,0.253,0.033,15.0,0.289,-0.15,-34.167,2.707,,0.298,2.364,,0.26,0.0,0.0,,,,0.0,5.588,8.446,0.0,0.0,0.0,2.858,5.588,,9080.616,,0.0,0.0,0.0,0.0,3.273,3.273,0.037,0.343,0.07,0.655,0.01,0.094,0.253,2.364,,,0.971,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.001,0.002,,0.0,0.0,0.0,0.0,0.0,0.35,0.35,,
40139,Samoa,2014,WSM,201769.0,,0.0,0.0,0.202,0.007,3.774,-0.055,0.007,-11.765,-0.272,,-0.045,0.999,,0.165,0.0,0.0,,,,0.0,5.342,9.079,0.0,0.0,0.0,11.065,5.342,,6062.045,,0.0,0.0,0.0,0.0,2.775,3.321,-0.256,-1.271,0.29,1.437,0.06,0.297,0.202,0.999,,,1.223,0.0,0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,,0.0,0.0,-0.005,0.002,,0.002,0.0,0.0,0.0,0.0,0.67,0.56,,
40311,Sao Tome and Principe,2014,STP,197511.0,660060032.0,0.0,0.0,0.117,-0.004,-3.03,0.081,-0.004,-4.348,0.408,0.122,0.131,0.594,0.178,0.19,0.0,0.0,,,,0.0,2.616,8.478,0.0,0.0,0.0,11.505,2.616,,3116.335,0.933,0.0,0.0,0.0,0.0,0.759,1.873,-0.037,-0.186,0.01,0.051,0.01,0.051,0.117,0.594,,,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,,0.0,0.0,-0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.37,0.15,,
40483,Saudi Arabia,2014,SAU,32125570.0,1550550827008.0,29.854,0.929,612.842,68.278,12.538,616.689,66.117,12.009,19.196,0.398,0.21,19.076,0.395,0.209,0.0,0.0,610.072,18.99,0.393,373.735,12124.231,12302.155,0.0,913.391,3270.182,143.849,7566.923,,91258.062,1.891,3.655,0.114,224.051,6.974,21.736,21.736,3.847,0.12,103.43,3.22,7.87,0.245,355.282,11.059,,,2931.717,1.99,1.723,1.523,0.0,1.095,0.817,0.562,0.0,5.846,1.615,0.02,1.451,,0.942,3.367,0.078,3.042,,0.657,0.004,0.005,0.009,0.0,698.29,698.29,-2.77,-0.452
40655,Senegal,2014,SEN,13970314.0,33021583360.0,1.898,0.136,8.724,0.872,11.101,3.485,1.238,55.106,0.249,0.106,0.109,0.624,0.264,0.273,1.099,0.079,11.411,0.817,0.346,25.678,179.645,464.631,8.131,0.0,0.861,859.098,144.975,,2286.819,0.967,0.0,0.0,0.073,0.005,1.745,2.069,-5.24,-0.375,9.88,0.707,4.94,0.354,5.654,0.405,,,31.948,0.127,0.025,0.009,0.007,0.075,0.012,0.021,0.001,0.0,0.0,0.121,0.028,,0.0,0.001,-0.107,0.048,,0.059,0.0,0.0,0.001,0.0,28.9,24.38,2.687,30.797
40827,Serbia,2014,SRB,7543965.0,90886283264.0,0.666,0.088,37.208,-7.361,-16.516,24.421,-7.251,-22.895,3.237,0.269,0.144,4.932,0.409,0.219,24.626,3.264,,,,66.461,2505.672,3214.143,1866.286,1.002,165.907,1401.7,406.016,,22474.787,1.866,0.019,0.002,3.682,0.488,7.314,6.938,-12.787,-1.695,11.39,1.51,4.14,0.549,8.215,1.089,,,169.549,0.044,0.105,0.06,0.164,0.195,0.169,0.147,0.266,0.006,0.082,0.197,0.078,,0.005,0.055,-0.26,0.07,,0.132,0.0,0.001,0.002,0.0,52.34,55.18,,
